month_TA1305000030,week_TA1305000030,day_TA1305000030,hour_TA1305000030,month_TA1306000010,week_TA1306000010,day_TA1306000010,hour_TA1306000010,month_TA1307000120,week_TA1307000120,day_TA1307000120,hour_TA1307000120,month_TA1307000126,week_TA1307000126,day_TA1307000126,hour_TA1307000126,y
0,0,0,0,0,0,0,0,9,0,27,23,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,7,0,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,7,3,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,7,6,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,7,7,0,0,0,0,12
0,0,0,0,0,0,0,0,9,1,7,8,0,0,0,0,15
0,0,0,0,0,0,0,0,9,1,7,9,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,7,11,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,7,12,0,0,0,0,8
0,0,0,0,0,0,0,0,9,1,7,13,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,7,14,0,0,0,0,8
0,0,0,0,0,0,0,0,9,1,7,15,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,7,16,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,7,17,0,0,0,0,10
0,0,0,0,0,0,0,0,9,1,7,18,0,0,0,0,10
0,0,0,0,0,0,0,0,9,1,7,19,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,7,20,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,7,21,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,7,22,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,7,23,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,14,4,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,14,5,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,14,6,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,14,7,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,14,8,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,14,9,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,14,10,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,14,11,0,0,0,0,8
0,0,0,0,0,0,0,0,9,1,14,12,0,0,0,0,3
0,0,0,0,0,0,0,0,9,1,14,13,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,14,14,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,14,15,0,0,0,0,3
0,0,0,0,0,0,0,0,9,1,14,16,0,0,0,0,10
0,0,0,0,0,0,0,0,9,1,14,17,0,0,0,0,11
0,0,0,0,0,0,0,0,9,1,14,18,0,0,0,0,16
0,0,0,0,0,0,0,0,9,1,14,19,0,0,0,0,14
0,0,0,0,0,0,0,0,9,1,14,20,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,14,21,0,0,0,0,9
0,0,0,0,0,0,0,0,9,1,14,22,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,14,23,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,21,1,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,21,6,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,21,7,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,21,8,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,21,9,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,21,10,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,21,11,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,21,12,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,21,13,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,21,14,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,21,15,0,0,0,0,8
0,0,0,0,0,0,0,0,9,1,21,16,0,0,0,0,6
0,0,0,0,0,0,0,0,9,1,21,17,0,0,0,0,15
0,0,0,0,0,0,0,0,9,1,21,18,0,0,0,0,19
0,0,0,0,0,0,0,0,9,1,21,19,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,21,20,0,0,0,0,6
0,0,0,0,0,0,0,0,9,1,21,21,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,21,22,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,21,23,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,28,0,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,28,3,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,28,4,0,0,0,0,1
0,0,0,0,0,0,0,0,9,1,28,5,0,0,0,0,3
0,0,0,0,0,0,0,0,9,1,28,6,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,28,7,0,0,0,0,12
0,0,0,0,0,0,0,0,9,1,28,8,0,0,0,0,11
0,0,0,0,0,0,0,0,9,1,28,9,0,0,0,0,5
0,0,0,0,0,0,0,0,9,1,28,10,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,28,11,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,28,12,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,28,13,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,28,14,0,0,0,0,11
0,0,0,0,0,0,0,0,9,1,28,15,0,0,0,0,4
0,0,0,0,0,0,0,0,9,1,28,16,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,28,17,0,0,0,0,22
0,0,0,0,0,0,0,0,9,1,28,18,0,0,0,0,11
0,0,0,0,0,0,0,0,9,1,28,19,0,0,0,0,11
0,0,0,0,0,0,0,0,9,1,28,20,0,0,0,0,7
0,0,0,0,0,0,0,0,9,1,28,21,0,0,0,0,2
0,0,0,0,0,0,0,0,9,1,28,22,0,0,0,0,3
0,0,0,0,0,0,0,0,9,1,28,23,0,0,0,0,2
0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,9,2,1,6,0,0,0,0,7
0,0,0,0,0,0,0,0,9,2,1,7,0,0,0,0,9
0,0,0,0,0,0,0,0,9,2,1,8,0,0,0,0,8
0,0,0,0,0,0,0,0,9,2,1,9,0,0,0,0,1
